country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,update_hour,update_day_of_week,pollutant_range,air_quality_category
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-07-06 10:00:00,21.219665,81.630094,NO2,1.0,3.0,2.0,10,Monday,2.0,Good/Satisfactory
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-07-06 10:00:00,28.498571,77.26484,PM10,6.0,119.0,74.0,10,Monday,113.0,Moderate
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-07-06 10:00:00,28.498571,77.26484,NO2,6.0,44.0,23.0,10,Monday,38.0,Good/Satisfactory
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-07-06 10:00:00,28.498571,77.26484,CO,21.0,27.0,23.0,10,Monday,6.0,Good/Satisfactory
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-07-06 10:00:00,28.647622,77.315809,NO2,11.0,111.0,41.0,10,Monday,100.0,Good/Satisfactory
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-07-06 10:00:00,28.647622,77.315809,CO,26.0,104.0,59.0,10,Monday,78.0,Moderate
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2026-07-06 10:00:00,28.563262,77.186937,NO2,19.0,91.0,47.0,10,Monday,72.0,Good/Satisfactory
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-07-06 10:00:00,28.570173,76.933762,CO,40.0,56.0,48.0,10,Monday,16.0,Good/Satisfactory
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2026-07-06 10:00:00,28.531346,77.190156,SO2,2.0,13.0,8.0,10,Monday,11.0,Good/Satisfactory
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2026-07-06 10:00:00,28.6811736,77.3025234,OZONE,24.0,227.0,63.0,10,Monday,203.0,Moderate
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-07-06 10:00:00,28.73282,77.170633,PM10,38.0,208.0,130.0,10,Monday,170.0,Poor/Severe
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-07-06 10:00:00,28.73282,77.170633,NO2,19.0,86.0,48.0,10,Monday,67.0,Good/Satisfactory
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-07-06 10:00:00,28.73282,77.170633,CO,56.0,70.0,62.0,10,Monday,14.0,Moderate
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-07-06 10:00:00,28.4706914,77.1099364,NH3,5.0,12.0,8.5,10,Monday,7.0,Good/Satisfactory
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-07-06 10:00:00,28.4706914,77.1099364,OZONE,6.0,38.0,17.0,10,Monday,32.0,Good/Satisfactory
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB",2026-07-06 10:00:00,29.5364,75.0158,SO2,7.0,33.0,19.0,10,Monday,26.0,Good/Satisfactory
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",2026-07-06 10:00:00,30.1480566,77.2893471,NH3,9.0,14.0,12.0,10,Monday,5.0,Good/Satisfactory
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2026-07-06 10:00:00,30.943887,76.801991,PM2.5,43.0,173.0,88.0,10,Monday,130.0,Poor/Severe
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2026-07-06 10:00:00,30.943887,76.801991,PM10,64.0,171.0,116.0,10,Monday,107.0,Poor/Severe
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2026-07-06 10:00:00,30.943887,76.801991,CO,53.0,64.0,59.0,10,Monday,11.0,Moderate
India,Jammu and Kashmir,Pampore,"Khrew, Pampore - JKPCC",2026-07-06 10:00:00,34.031606,75.009712,CO,14.0,17.0,16.0,10,Monday,3.0,Good/Satisfactory
India,Jammu and Kashmir,Pampore,"Khrew, Pampore - JKPCC",2026-07-06 10:00:00,34.031606,75.009712,OZONE,0.0,1.0,0.0,10,Monday,1.0,Good/Satisfactory
India,Jammu and Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC",2026-07-06 10:00:00,34.066206,74.81982,SO2,3.0,4.0,3.0,10,Monday,1.0,Good/Satisfactory
India,Jammu and Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC",2026-07-06 10:00:00,34.06313,74.96017,PM10,58.0,107.0,82.0,10,Monday,49.0,Moderate
India,Jammu and Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC",2026-07-06 10:00:00,34.06313,74.96017,NH3,9.0,9.0,9.0,10,Monday,0.0,Good/Satisfactory
India,Jammu and Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC",2026-07-06 10:00:00,34.06313,74.96017,SO2,4.0,5.0,5.0,10,Monday,1.0,Good/Satisfactory
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",2026-07-06 10:00:00,23.80569,86.44268,PM2.5,41.0,47.0,44.0,10,Monday,6.0,Moderate
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",2026-07-06 10:00:00,23.80569,86.44268,SO2,4.0,4.0,4.0,10,Monday,0.0,Good/Satisfactory
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",2026-07-06 10:00:00,28.3419248,77.319699,NO2,19.0,21.0,20.0,10,Monday,2.0,Good/Satisfactory
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",2026-07-06 10:00:00,28.3419248,77.319699,CO,48.0,59.0,53.0,10,Monday,11.0,Moderate
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",2026-07-06 10:00:00,28.3419248,77.319699,OZONE,7.0,26.0,14.0,10,Monday,19.0,Good/Satisfactory
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",2026-07-06 10:00:00,28.806223,76.141105,NH3,2.0,3.0,2.0,10,Monday,1.0,Good/Satisfactory
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",2026-07-06 10:00:00,28.806223,76.141105,SO2,12.0,13.0,13.0,10,Monday,1.0,Good/Satisfactory
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",2026-07-06 10:00:00,28.593883,76.270653,SO2,9.0,11.0,10.0,10,Monday,2.0,Good/Satisfactory
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",2026-07-06 10:00:00,28.593883,76.270653,CO,11.0,18.0,15.0,10,Monday,7.0,Good/Satisfactory
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",2026-07-06 10:00:00,28.2068,76.7997,PM2.5,79.0,206.0,107.0,10,Monday,127.0,Poor/Severe
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",2026-07-06 10:00:00,28.2068,76.7997,NO2,13.0,45.0,34.0,10,Monday,32.0,Good/Satisfactory
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-07-06 10:00:00,28.4417,77.3217,OZONE,2.0,2.0,2.0,10,Monday,0.0,Good/Satisfactory
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",2026-07-06 10:00:00,28.39072,77.30059,CO,23.0,28.0,26.0,10,Monday,5.0,Good/Satisfactory
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",2026-07-06 10:00:00,28.376058,77.315741,SO2,5.0,12.0,8.0,10,Monday,7.0,Good/Satisfactory
